,precision,recall,f1-score,support
0,0.0,0.0,0.0,7.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,6.0
3,0.25,0.1111111111111111,0.15384615384615385,9.0
4,0.0,0.0,0.0,9.0
5,0.0,0.0,0.0,9.0
6,0.0,0.0,0.0,9.0
7,0.0,0.0,0.0,7.0
8,0.0,0.0,0.0,8.0
9,0.0,0.0,0.0,9.0
10,0.0,0.0,0.0,9.0
11,0.0,0.0,0.0,6.0
12,0.0,0.0,0.0,8.0
13,0.5,0.1111111111111111,0.18181818181818182,9.0
14,0.0,0.0,0.0,7.0
15,0.0,0.0,0.0,11.0
16,0.0,0.0,0.0,10.0
17,0.0,0.0,0.0,8.0
18,0.1,0.2,0.13333333333333333,10.0
19,0.0,0.0,0.0,10.0
20,0.0,0.0,0.0,8.0
21,0.0,0.0,0.0,9.0
22,0.0,0.0,0.0,8.0
23,0.0,0.0,0.0,8.0
24,0.0,0.0,0.0,8.0
25,0.0,0.0,0.0,7.0
26,0.0,0.0,0.0,9.0
27,0.0,0.0,0.0,10.0
28,0.0,0.0,0.0,6.0
29,0.0,0.0,0.0,8.0
30,0.0,0.0,0.0,11.0
31,0.0,0.0,0.0,8.0
32,0.0,0.0,0.0,7.0
33,0.0,0.0,0.0,9.0
34,0.0,0.0,0.0,11.0
35,0.0,0.0,0.0,10.0
36,0.0,0.0,0.0,10.0
37,0.0,0.0,0.0,10.0
38,0.0,0.0,0.0,10.0
39,0.05263157894736842,0.2222222222222222,0.0851063829787234,9.0
40,0.0,0.0,0.0,9.0
41,0.0,0.0,0.0,10.0
42,0.0,0.0,0.0,7.0
43,0.3333333333333333,0.1,0.15384615384615385,10.0
44,0.1,0.1,0.1,10.0
45,0.0,0.0,0.0,10.0
46,0.0,0.0,0.0,10.0
47,0.0,0.0,0.0,10.0
48,0.0,0.0,0.0,8.0
49,0.25,0.1111111111111111,0.15384615384615385,9.0
50,0.0,0.0,0.0,9.0
51,0.0,0.0,0.0,10.0
52,0.15384615384615385,0.2,0.17391304347826086,10.0
53,0.0,0.0,0.0,10.0
54,0.0,0.0,0.0,10.0
55,0.04,0.09090909090909091,0.05555555555555555,11.0
56,0.045454545454545456,0.1,0.0625,10.0
57,0.0,0.0,0.0,8.0
58,0.0,0.0,0.0,10.0
59,0.0,0.0,0.0,11.0
60,0.0,0.0,0.0,10.0
61,0.0,0.0,0.0,10.0
62,0.0,0.0,0.0,9.0
63,0.0,0.0,0.0,10.0
64,0.0,0.0,0.0,10.0
65,0.0,0.0,0.0,11.0
66,0.0,0.0,0.0,10.0
67,0.0,0.0,0.0,10.0
68,0.0,0.0,0.0,10.0
69,0.09803921568627451,0.45454545454545453,0.16129032258064516,11.0
70,0.0,0.0,0.0,10.0
71,0.0,0.0,0.0,11.0
72,0.0,0.0,0.0,9.0
73,0.0,0.0,0.0,9.0
74,0.03076923076923077,0.2222222222222222,0.05405405405405406,9.0
75,0.0,0.0,0.0,9.0
76,0.0,0.0,0.0,10.0
77,0.0,0.0,0.0,9.0
78,0.0,0.0,0.0,11.0
79,0.0,0.0,0.0,6.0
80,0.0,0.0,0.0,6.0
81,0.045454545454545456,0.09090909090909091,0.06060606060606061,11.0
82,0.0,0.0,0.0,11.0
83,0.0967741935483871,0.2727272727272727,0.14285714285714285,11.0
84,0.0,0.0,0.0,9.0
85,0.0,0.0,0.0,9.0
86,0.0,0.0,0.0,9.0
87,0.0,0.0,0.0,11.0
88,0.0,0.0,0.0,11.0
89,0.0,0.0,0.0,9.0
90,0.0,0.0,0.0,11.0
91,0.0,0.0,0.0,9.0
92,0.5,0.09090909090909091,0.15384615384615385,11.0
93,0.0,0.0,0.0,9.0
94,0.0,0.0,0.0,9.0
95,0.0,0.0,0.0,9.0
96,0.0,0.0,0.0,10.0
97,0.0,0.0,0.0,9.0
98,0.0,0.0,0.0,8.0
99,0.0,0.0,0.0,9.0
100,0.0,0.0,0.0,8.0
101,0.0,0.0,0.0,10.0
102,0.05084745762711865,0.6923076923076923,0.09473684210526316,13.0
103,0.0,0.0,0.0,9.0
104,0.0,0.0,0.0,11.0
105,0.0,0.0,0.0,10.0
106,0.0,0.0,0.0,7.0
107,0.0,0.0,0.0,9.0
108,0.0,0.0,0.0,10.0
109,0.0,0.0,0.0,11.0
110,0.0,0.0,0.0,8.0
111,0.0,0.0,0.0,11.0
112,0.0,0.0,0.0,10.0
113,0.0,0.0,0.0,9.0
114,0.0,0.0,0.0,9.0
115,0.0,0.0,0.0,10.0
116,0.0,0.0,0.0,9.0
117,0.0,0.0,0.0,10.0
118,0.0,0.0,0.0,9.0
119,0.050314465408805034,0.6666666666666666,0.0935672514619883,12.0
120,0.0,0.0,0.0,10.0
121,0.0,0.0,0.0,10.0
122,0.0,0.0,0.0,10.0
123,0.058823529411764705,0.1,0.07407407407407407,10.0
124,0.0,0.0,0.0,10.0
125,0.0,0.0,0.0,9.0
126,0.008130081300813009,0.08333333333333333,0.014814814814814815,12.0
127,0.0,0.0,0.0,11.0
128,0.0,0.0,0.0,11.0
129,0.0,0.0,0.0,10.0
130,0.25,0.1,0.14285714285714285,10.0
131,0.0,0.0,0.0,11.0
132,0.0,0.0,0.0,11.0
133,0.0,0.0,0.0,9.0
134,0.13333333333333333,0.2,0.16,10.0
135,0.06611570247933884,0.6666666666666666,0.12030075187969924,12.0
136,0.03669724770642202,0.36363636363636365,0.06666666666666667,11.0
137,0.0,0.0,0.0,10.0
138,0.05454545454545454,0.42857142857142855,0.0967741935483871,14.0
139,0.0,0.0,0.0,10.0
140,0.23076923076923078,0.25,0.24,12.0
141,0.0,0.0,0.0,11.0
142,0.09090909090909091,0.1,0.09523809523809523,10.0
143,0.0,0.0,0.0,10.0
144,0.0,0.0,0.0,10.0
145,0.0,0.0,0.0,9.0
146,0.0,0.0,0.0,10.0
147,0.0,0.0,0.0,12.0
148,0.024390243902439025,0.09090909090909091,0.038461538461538464,11.0
149,0.0,0.0,0.0,8.0
accuracy,0.04895104895104895,0.04895104895104895,0.04895104895104895,0.04895104895104895
macro avg,0.024341190896224333,0.04146579346579346,0.020426067091694953,1430.0
weighted avg,0.02611966722510316,0.04895104895104895,0.02258628397789879,1430.0
